match,league,home_odd,home_book,draw_odd,draw_book,away_odd,away_book,stake_home,stake_draw,stake_away,guaranteed_profit,profit_pct
Novorizontino vs Atletico GO,Unknown,1.94,fortebet,3.4,fortebet,4.04,premierbet,48761.79,27822.9,23415.31,-5402.14,-5.71
San Antonio vs Monterey Bay,Unknown,1.72,premierbet,4.0,fortebet,4.41,premierbet,54944.37,23626.08,21429.55,-5495.68,-5.82
Hodd vs Stromsgodset,Unknown,6.1,fortebet,5.0,fortebet,1.44,premierbet,15489.2,18896.82,65613.97,-5515.88,-5.84
Derry City vs Waterford,Unknown,1.45,premierbet,4.6,fortebet,6.6,fortebet,65150.21,20536.48,14313.3,-5532.19,-5.86
Vestmannaeyjar vs Valur,Unknown,2.21,fortebet,3.99,premierbet,2.81,premierbet,42728.44,23666.63,33604.93,-5570.15,-5.9
Criciuma vs Sport Recife,Unknown,1.96,fortebet,3.26,premierbet,4.13,premierbet,48174.12,28963.58,22862.3,-5578.72,-5.91
Nautico vs Juventude,Unknown,2.24,fortebet,3.18,premierbet,3.35,fortebet,42139.7,29683.31,28176.99,-5607.08,-5.94
JaPS vs SJK Akatemia,Unknown,1.9,premierbet,3.75,fortebet,3.75,fortebet,49668.87,25165.56,25165.56,-5629.14,-5.96
Goias vs Ceara,Unknown,2.2,premierbet,3.05,fortebet,3.6,fortebet,42873.88,30925.42,26200.7,-5677.47,-6.02
KTP vs Jippo,Unknown,2.14,premierbet,3.3,fortebet,3.45,fortebet,44076.66,28583.04,27340.3,-5675.96,-6.02
Cheongju vs Daegu,Unknown,4.5,fortebet,3.75,fortebet,1.75,premierbet,20958.08,25149.7,53892.22,-5688.62,-6.03
Keflavik vs Fram,Unknown,2.9,fortebet,4.02,premierbet,2.14,premierbet,32504.12,23448.24,44047.64,-5738.06,-6.09
Drogheda vs Bohemians,Unknown,4.7,fortebet,3.7,fortebet,1.73,premierbet,20052.0,25471.46,54476.54,-5755.59,-6.11
Fortaleza vs Ponte Preta,Unknown,1.3,premierbet,5.2,fortebet,10.0,fortebet,72463.77,18115.94,9420.29,-5797.1,-6.15
